Date,Close,Open,High,Low,Vol,Change %,average_clustering,density,number_of_edges,number_of_nodes,degree_assortativity_coefficient
26-Jun-11,15.4,17.5,18.0,14.0,179650.0,-0.12,0.0103180102537849,8.844433381809294e-06,383822,208320,-0.0174503623757111
3-Jul-11,14.4,15.4,16.5,11.0,366200.0,-0.07,0.0115916408088395,9.523962408945662e-06,341198,189276,-0.0220898267446681
10-Jul-11,13.7,14.4,15.7,13.5,190880.0,-0.05,0.0137140791638404,8.582622536246721e-06,400785,216096,-0.025956769710914
17-Jul-11,13.7,13.7,14.7,12.5,263670.0,0.0,0.0121195594278614,7.153974819944708e-06,500685,264551,-0.0140656881140321
24-Jul-11,13.5,13.7,14.7,13.3,132600.0,-0.01,0.0101179244099342,7.37844644790006e-06,442210,244812,-0.0199322044022213
31-Jul-11,6.6,13.5,14.9,5.7,398270.0,-0.52,0.013004969301091,6.992214116954114e-06,470141,259303,-0.0323410082864873
7-Aug-11,10.1,6.6,12.1,6.0,392070.0,0.55,0.008622374656172,6.775521706102794e-06,465470,262105,-0.016402503221584
14-Aug-11,11.4,10.1,11.9,9.6,172350.0,0.13,0.010411087562091,5.558418718179907e-06,606995,330459,-0.0239363874981352
21-Aug-11,8.6,11.4,11.5,7.6,226800.0,-0.25,0.0116396422365567,6.503261397812889e-06,491128,274810,-0.0078945381667631
28-Aug-11,8.5,8.6,9.5,8.0,112890.0,-0.01,0.0126688553242987,6.599979258860585e-06,505962,276878,-0.0188964114489262
4-Sep-11,4.8,8.5,8.5,4.2,476410.0,-0.44,0.012905422730453,6.452702688513626e-06,529218,286383,-0.0089246229137662
11-Sep-11,4.8,4.8,7.4,4.4,413360.0,0.0,0.0144572720706738,7.66778423161111e-06,477553,249561,-0.0085932126353301
18-Sep-11,5.5,4.8,6.8,4.7,384640.0,0.15,0.0161123084936667,7.925074766811369e-06,436659,234731,-0.0168678119327248
25-Sep-11,5.0,5.5,5.5,4.6,199840.0,-0.08,0.0127457080768249,8.166921944333228e-06,423271,227657,-0.0222808145112551
2-Oct-11,4.0,5.0,5.1,3.8,253060.0,-0.2,0.0111961579464002,7.304145741514015e-06,488852,258705,-0.0269783816914804
9-Oct-11,3.8,4.0,4.4,3.7,247140.0,-0.04,0.0101106419957485,7.5607471168701185e-06,503455,258047,-0.0192196812770642
16-Oct-11,3.2,3.8,3.9,2.0,675350.0,-0.18,0.0123522202134688,7.707134509991782e-06,513318,258076,-0.0146966560465398
23-Oct-11,3.6,3.2,3.8,2.4,450690.0,0.13,0.0145399986162729,8.61899455820091e-06,439918,225922,-0.0102699898034161
30-Oct-11,3.0,3.6,3.7,2.8,268870.0,-0.17,0.0145445433428443,8.93702319464823e-06,412674,214886,-0.009282208620085
6-Nov-11,3.0,3.0,3.2,2.8,252920.0,0.02,0.0139125480223402,7.62795028086258e-06,459160,245346,-0.0154050372232012
13-Nov-11,2.2,3.0,3.0,2.0,806160.0,-0.27,0.0121848326802864,7.231507562277044e-06,499506,262819,-0.0162240813633456
20-Nov-11,2.5,2.2,2.6,2.2,363450.0,0.12,0.0129596597442925,6.9105593166103e-06,541252,279862,-0.018556738831471
27-Nov-11,2.8,2.5,3.1,2.4,609050.0,0.13,0.0136839166235168,7.265771887338154e-06,485735,258559,-0.0154032508075417
4-Dec-11,3.0,2.8,3.1,2.6,388450.0,0.09,0.0133450554176887,7.282135102135882e-06,484204,257861,-0.0212978875597848
11-Dec-11,3.2,3.0,3.4,3.0,329700.0,0.05,0.0149873499483697,6.4324766325687375e-06,555557,293884,-0.0114239619652183
18-Dec-11,3.9,3.2,4.5,3.2,478620.0,0.23,0.0178987631717938,5.5537020794875466e-06,639663,339379,-0.0059025521600535
25-Dec-11,4.7,3.9,5.0,3.8,457490.0,0.2,0.0250237690601265,6.346128067824715e-06,603077,308271,-0.003524349171013
1-Jan-12,6.8,4.7,7.2,4.6,1020.0,0.44,0.0208219262210588,6.41543990789052e-06,579445,300534,-0.0141368677563319
8-Jan-12,6.8,6.8,7.2,5.8,757500.0,-0.01,0.0228072553546053,5.328554395708837e-06,685218,358600,-0.0087155655402838
15-Jan-12,6.2,6.8,7.2,4.6,871360.0,-0.08,0.0207140562397816,5.156780102323498e-06,711877,371547,-0.0162402001629787
22-Jan-12,5.6,6.2,6.4,5.1,560590.0,-0.09,0.0222289566928202,5.319871878523246e-06,717706,367302,-0.0058472680816046
29-Jan-12,5.9,5.6,6.2,5.3,387000.0,0.04,0.018704145386123,4.7705571081373925e-06,801694,409940,-0.0093179386657232
5-Feb-12,5.6,5.9,6.0,5.3,720250.0,-0.05,0.0237327919810365,4.542323166853078e-06,820073,424901,-0.0104473276151482
12-Feb-12,4.2,5.6,5.8,3.9,1080.0,-0.25,0.0209819490472205,4.555968927414347e-06,818152,423767,0.0223770379800939
19-Feb-12,4.8,4.2,5.2,4.2,595590.0,0.13,0.019581150248285,4.398596794032698e-06,846264,438628,0.0146033187445432
26-Feb-12,4.6,4.8,5.1,4.5,403660.0,-0.03,0.0197207282714062,4.07811921975505e-06,912002,472899,0.0285812685089914
4-Mar-12,4.8,4.6,5.1,4.6,334240.0,0.05,0.0197487296458884,3.919301852822061e-06,921722,484949,0.0297432670916402
11-Mar-12,5.2,4.8,5.4,4.8,367600.0,0.08,0.0172222277086458,4.881174529310155e-06,792371,402905,0.0408096908390976
18-Mar-12,4.7,5.2,5.3,4.5,475800.0,-0.1,0.0135499223636919,4.557782274643565e-06,790123,416362,0.0043906967916996
25-Mar-12,4.9,4.7,4.9,4.3,365420.0,0.05,0.0133435186954378,4.25662159789822e-06,831807,442058,0.0365388038571247
1-Apr-12,4.7,4.9,5.1,4.7,419100.0,-0.04,0.0119278397323727,3.8126956019579904e-06,958674,501441,0.0587727707370649
8-Apr-12,5.0,4.7,5.0,4.6,404720.0,0.06,0.0123262373958314,3.48679814988654e-06,937339,518484,-0.0009949898738254
15-Apr-12,5.3,5.0,5.5,4.9,385950.0,0.06,0.017600847134671,4.178827063134858e-06,879688,458815,0.0081531121688378
22-Apr-12,5.0,5.3,5.3,4.8,367930.0,-0.05,0.0154577228235578,4.200547891660355e-06,877693,457108,0.0376027657938423
29-Apr-12,5.1,5.0,5.2,4.9,308530.0,0.02,0.0140799492886452,4.423528538612786e-06,857390,440256,0.0758491043716876
6-May-12,4.9,5.1,5.1,4.8,326600.0,-0.03,0.0118071320852019,3.847427743101135e-06,1009382,512204,0.0878997945656506
13-May-12,5.1,4.9,5.1,4.9,282770.0,0.03,0.0114455131646109,3.958519121948799e-06,929195,484493,0.0623063617984239
20-May-12,5.1,5.1,5.2,5.1,220540.0,0.0,0.013881238698547,4.464331644687021e-06,826029,430150,0.0486668867694776
27-May-12,5.3,5.1,5.3,5.0,243860.0,0.03,0.0132096442247255,4.313781756074694e-06,856932,445702,0.0233620347382212
3-Jun-12,5.6,5.3,5.7,5.2,327560.0,0.06,0.0156907087966578,4.438865101408804e-06,815850,428716,0.0303889702715521
10-Jun-12,6.4,5.6,6.6,5.4,379760.0,0.15,0.0121120216324504,5.171760515444917e-06,688870,364964,0.0447745169436222
17-Jun-12,6.4,6.4,6.8,6.0,332470.0,0.0,0.0119247553601233,4.97816099639151e-06,693946,373361,-0.0061059719449615
24-Jun-12,6.7,6.4,6.7,6.2,277010.0,0.04,0.0132047288815235,5.34956349424634e-06,649875,348543,-0.0072319932550525
1-Jul-12,6.8,6.7,6.9,6.4,284010.0,0.01,0.0155806959531261,6.023923614216021e-06,544170,300558,-0.0038206746783428
8-Jul-12,7.5,6.8,7.9,6.7,337910.0,0.12,0.0132808361291631,5.649590130909354e-06,625351,332701,-0.0133154109961772
15-Jul-12,8.9,7.5,9.7,7.3,789950.0,0.17,0.0140744467182603,5.979329893275272e-06,578496,311046,-0.0083609659390969
22-Jul-12,8.9,8.9,9.2,7.8,357350.0,0.0,0.0133059184546727,5.9024327406248005e-06,600308,318913,-0.0190209895836493
29-Jul-12,11.0,8.9,11.3,8.7,442240.0,0.24,0.012792868650924,5.118297897841091e-06,707630,371827,-0.0089453146592321
5-Aug-12,11.5,11.0,12.0,10.1,379160.0,0.05,0.0124526461045882,4.72730471526538e-06,783233,407042,-0.0013668079613946
12-Aug-12,11.6,11.5,15.4,10.6,591640.0,0.01,0.0119821549692385,4.248026314551404e-06,853165,448150,-0.0198046690815871
19-Aug-12,10.5,11.6,11.6,7.6,759290.0,-0.09,0.0159082852724709,4.039328742917305e-06,876741,465888,-0.0115784241333067
26-Aug-12,10.0,10.5,12.1,9.7,432010.0,-0.05,0.0137898784468416,4.059749968469775e-06,858160,459764,-0.0167568998816495
2-Sep-12,11.0,10.0,11.3,9.7,270470.0,0.11,0.0131794227321113,4.254943363816465e-06,805125,434996,-0.0171530309664525
9-Sep-12,11.8,11.0,11.8,10.8,260010.0,0.06,0.0128531328521378,4.717474783318269e-06,772888,404766,-0.0435678092732394
16-Sep-12,12.2,11.8,12.7,11.7,223130.0,0.04,0.0147538683628069,4.177539968557585e-06,863246,454577,-0.032105437965539
23-Sep-12,12.4,12.2,12.5,11.6,175000.0,0.01,0.0127312209287212,4.405809830363163e-06,792057,424000,-0.0232792276644172
30-Sep-12,12.5,12.4,13.1,12.3,210290.0,0.01,0.0142681203058559,4.394772848161748e-06,791997,424516,-0.0221903853213341
7-Oct-12,11.9,12.5,12.6,10.6,289170.0,-0.05,0.0132936819001646,4.491097973448819e-06,760120,411401,-0.0229949287775137
14-Oct-12,11.7,11.9,12.0,11.4,181900.0,-0.01,0.0125705850721068,4.168441732547148e-06,809255,440612,-0.0248628884194345
21-Oct-12,10.3,11.7,12.0,9.7,354680.0,-0.13,0.0125851178872043,4.0746886598599e-06,875248,463467,-0.0319034829432617
28-Oct-12,10.6,10.3,11.3,10.3,218240.0,0.04,0.0137896668854488,4.730709200934492e-06,741186,395823,-0.0251437173762012
4-Nov-12,10.9,10.6,11.2,10.5,151530.0,0.02,0.0118936990643523,3.893567085213398e-06,842754,465240,-0.0185946100264823
11-Nov-12,11.8,10.9,11.8,10.7,202400.0,0.08,0.0108705304218629,3.649583364324392e-06,889979,493820,-0.022764414099242
18-Nov-12,12.4,11.8,12.5,11.6,184000.0,0.05,0.008878805472321,2.8728815457470987e-06,1119594,624269,-0.025101813097886
25-Nov-12,12.6,12.4,12.7,11.9,189370.0,0.01,0.0076501443171618,2.64457881815069e-06,1209759,676350,-0.0316625904307253
2-Dec-12,13.4,12.6,13.7,12.4,226350.0,0.07,0.0082450676217897,3.092453933640002e-06,1051403,583087,-0.0247357425521735
9-Dec-12,13.5,13.4,13.9,13.0,228090.0,0.01,0.0086650456986703,3.714029125082937e-06,877302,486018,-0.0286292362799268
16-Dec-12,13.4,13.5,13.7,12.8,241510.0,-0.01,0.0090375558825588,3.601173960548548e-06,932686,508916,-0.0294273478267082
23-Dec-12,13.4,13.4,13.7,13.0,139460.0,0.0,0.0100546690779891,4.7930700051091625e-06,724213,388711,-0.0284868270316641
