"Date,",Price,Open,High,Low,Vol.,Change %
4/8/2012,5.0,4.7,5.0,4.6,404720.0,5.76
4/15/2012,5.3,5.0,5.5,4.9,385950.0,6.05
4/22/2012,5.0,5.3,5.3,4.8,367930.0,-5.32
4/29/2012,5.1,5.0,5.2,4.9,308530.0,2.01
5/6/2012,4.9,5.1,5.1,4.8,326600.0,-2.56
5/13/2012,5.1,4.9,5.1,4.9,282770.0,3.03
5/20/2012,5.1,5.1,5.2,5.1,220540.0,0.0
5/27/2012,5.3,5.1,5.3,5.0,243860.0,2.94
6/3/2012,5.6,5.3,5.7,5.2,327560.0,5.9
6/10/2012,6.4,5.6,6.6,5.4,379760.0,15.11
6/17/2012,6.4,6.4,6.8,6.0,332470.0,0.0
6/24/2012,6.7,6.4,6.7,6.2,277010.0,4.04
7/1/2012,6.8,6.7,6.9,6.4,284010.0,1.05
7/8/2012,7.5,6.8,7.9,6.7,337910.0,11.54
7/15/2012,8.9,7.5,9.7,7.3,789950.0,17.37
7/22/2012,8.9,8.9,9.2,7.8,357350.0,0.0
7/29/2012,11.0,8.9,11.3,8.7,442240.0,23.51
8/5/2012,11.5,11.0,12.0,10.1,379160.0,4.83
8/12/2012,11.6,11.5,15.4,10.6,591640.0,0.87
8/19/2012,10.5,11.6,11.6,7.6,759290.0,-9.39
8/26/2012,10.0,10.5,12.1,9.7,432010.0,-5.23
9/2/2012,11.0,10.0,11.3,9.7,270470.0,10.73
9/9/2012,11.8,11.0,11.8,10.8,260010.0,6.43
9/16/2012,12.2,11.8,12.7,11.7,223130.0,4.17
9/23/2012,12.4,12.2,12.5,11.6,175000.0,0.98
9/30/2012,12.5,12.4,13.1,12.3,210290.0,1.21
10/7/2012,11.9,12.5,12.6,10.6,289170.0,-5.2
10/14/2012,11.7,11.9,12.0,11.4,181900.0,-1.01
10/21/2012,10.3,11.7,12.0,9.7,354680.0,-12.61
10/28/2012,10.6,10.3,11.3,10.3,218240.0,3.7
11/4/2012,10.9,10.6,11.2,10.5,151530.0,2.35
11/11/2012,11.8,10.9,11.8,10.7,202400.0,8.26
11/18/2012,12.4,11.8,12.5,11.6,184000.0,5.26
11/25/2012,12.6,12.4,12.7,11.9,189370.0,1.21
12/2/2012,13.4,12.6,13.7,12.4,226350.0,6.85
12/9/2012,13.5,13.4,13.9,13.0,228090.0,0.52
12/16/2012,13.4,13.5,13.7,12.8,241510.0,-0.89
12/23/2012,13.4,13.4,13.7,13.0,139460.0,0.0
12/30/2012,13.4,13.4,13.6,13.2,142190.0,0.0
1/6/2013,14.2,13.4,14.4,13.4,228800.0,5.95
1/13/2013,15.6,14.2,16.0,13.9,313710.0,9.69
1/20/2013,17.9,15.6,19.2,15.4,485490.0,14.47
1/27/2013,19.6,17.9,21.4,17.2,442230.0,9.79
2/3/2013,23.6,19.6,24.0,19.4,318710.0,20.48
2/10/2013,27.2,23.6,27.6,21.7,466620.0,15.1
2/17/2013,29.8,27.2,31.3,25.0,417660.0,9.48
2/24/2013,34.3,29.8,34.9,29.2,327360.0,14.93
3/3/2013,46.8,34.3,49.1,33.3,520060.0,36.79
3/10/2013,47.0,46.8,48.5,36.7,384320.0,0.32
3/17/2013,64.3,47.0,74.9,46.8,602060.0,36.91
3/24/2013,92.2,64.3,95.7,62.7,511380.0,43.26
3/31/2013,142.6,92.2,147.0,91.0,520930.0,54.71
4/7/2013,93.0,142.6,266.0,54.3,1380000.0,-34.8
4/14/2013,126.6,93.0,136.4,50.0,1810000.0,36.15
4/21/2013,128.0,126.6,166.4,110.0,876870.0,1.09
4/28/2013,112.9,128.0,149.1,79.0,956240.0,-11.8
5/5/2013,115.6,112.9,124.9,97.5,568140.0,2.43
5/12/2013,123.2,115.6,125.6,103.0,399530.0,6.55
5/19/2013,132.0,123.2,134.0,119.5,157310.0,7.13
5/26/2013,129.3,132.0,136.0,124.0,159870.0,-2.04
6/2/2013,107.9,129.3,130.1,106.2,273710.0,-16.56
6/9/2013,99.8,107.9,112.3,88.0,336610.0,-7.5
6/16/2013,108.2,99.8,115.0,98.9,190470.0,8.42
6/23/2013,95.0,108.2,110.0,92.3,234920.0,-12.2
6/30/2013,69.7,95.0,98.2,65.4,358770.0,-26.67
7/7/2013,98.3,69.7,104.2,66.6,366120.0,41.14
7/14/2013,89.8,98.3,101.9,86.2,177260.0,-8.65
7/21/2013,94.4,89.8,97.5,88.0,105870.0,5.1
7/28/2013,104.9,94.4,111.7,94.0,191740.0,11.18
8/4/2013,103.0,104.9,107.8,101.0,82990.0,-1.86
8/11/2013,112.8,103.0,115.0,102.7,139760.0,9.47
8/18/2013,119.6,112.8,125.0,111.8,160000.0,6.08
8/25/2013,141.0,119.6,148.7,119.1,170740.0,17.89
9/1/2013,129.0,141.0,148.9,121.3,130890.0,-8.52
9/8/2013,136.7,129.0,145.9,124.0,137010.0,5.98
9/15/2013,134.4,136.7,142.2,131.0,73340.0,-1.7
9/22/2013,142.5,134.4,143.0,131.0,77320.0,6.04
9/29/2013,136.7,142.5,145.8,109.7,212390.0,-4.07
10/6/2013,142.9,136.7,143.1,134.1,64319.99999999999,4.53
10/13/2013,183.1,142.9,195.8,141.5,201720.0,28.18
10/20/2013,188.6,183.1,233.4,175.3,254870.0,2.95
10/27/2013,211.7,188.6,216.5,188.9,63770.0,12.27
11/3/2013,367.8,211.7,395.0,212.1,294920.0,73.74
11/10/2013,462.0,367.8,476.9,290.0,228960.0,25.6
11/17/2013,832.5,462.0,900.9,453.3,379680.0,80.21
11/24/2013,1205.7,832.5,1241.9,745.2,213000.0,44.82
12/1/2013,697.0,1205.7,1239.9,576.0,362230.0,-42.19
12/8/2013,908.9,697.0,1067.7,653.0,144170.0,30.4
12/15/2013,640.5,908.9,927.9,454.9,293970.0,-29.54
12/22/2013,762.0,640.5,836.8,615.0,93740.0,18.97
12/29/2013,924.7,762.0,932.2,735.0,74200.0,21.35
1/5/2014,1005.3,924.7,1093.4,858.9,113160.0,8.72
1/12/2014,905.7,1005.3,1022.7,867.2,52660.0,-9.91
1/19/2014,961.0,905.7,980.5,901.9,45700.0,6.11
1/26/2014,940.4,961.0,1038.1,909.5,51590.0,-2.15
2/2/2014,648.8,940.4,959.6,632.1,107920.0,-31.01
2/9/2014,371.1,648.8,700.0,302.2,243420.0,-42.8
2/16/2014,255.6,371.1,540.0,91.7,474940.0,-31.12
2/23/2014,557.4,255.6,650.0,102.3,166110.0,118.08
3/2/2014,609.2,557.4,695.4,541.5,11290.0,9.3
3/9/2014,624.0,609.2,640.8,594.7,21080.0,2.43
3/16/2014,564.3,624.0,627.3,537.2,25940.0,-9.57
3/23/2014,477.1,564.3,575.4,453.8,27560.0,-15.46
3/30/2014,456.6,477.1,487.4,386.7,24110.0,-4.29
4/6/2014,437.6,456.6,485.1,355.7,29330.0,-4.16
4/13/2014,506.0,437.6,549.0,409.9,53390.0,15.62
4/20/2014,457.9,506.0,524.7,438.3,43030.0,-9.52
4/27/2014,438.6,457.9,464.5,420.8,29460.0,-4.2
5/4/2014,451.9,438.6,459.5,420.2,20890.0,3.02
5/11/2014,452.8,451.9,455.9,429.0,13760.0,0.2
5/18/2014,520.5,452.8,540.9,437.3,14840.0,14.95
5/25/2014,627.9,520.5,629.0,520.5,26110.0,20.65
6/1/2014,651.7,627.9,676.5,602.1,28410.0,3.78
6/8/2014,583.4,651.7,663.0,563.7,31060.0,-10.47
6/15/2014,597.0,583.4,614.4,560.8,24280.0,2.33
6/22/2014,597.6,597.0,610.1,565.8,21330.0,0.09
6/29/2014,623.0,597.6,652.5,593.2,26470.0,4.25
7/6/2014,635.9,623.0,638.6,607.3,21670.0,2.08
7/13/2014,627.0,635.9,638.6,610.0,21180.0,-1.39
7/20/2014,596.0,627.0,628.8,593.3,24420.0,-4.95
7/27/2014,591.7,596.0,604.0,564.0,31260.0,-0.72
8/3/2014,589.5,591.7,608.2,580.6,18800.0,-0.37
8/10/2014,522.0,589.5,596.6,483.2,31570.0,-11.45
8/17/2014,497.7,522.0,537.2,450.0,35330.0,-4.66
8/24/2014,506.0,497.7,527.4,496.8,23330.0,1.66
8/31/2014,484.5,506.0,508.3,470.5,44410.0,-4.25
9/7/2014,478.2,484.5,491.0,467.5,44000.0,-1.3
9/14/2014,411.5,478.2,480.3,386.1,62050.0,-13.94
9/21/2014,399.0,411.5,445.5,394.5,99720.0,-3.04
9/28/2014,335.3,399.0,402.3,327.1,123420.0,-15.96
10/5/2014,361.2,335.3,384.6,294.9,200890.0,7.72
10/12/2014,390.9,361.2,407.7,352.3,132960.0,8.21
10/19/2014,346.7,390.9,394.5,341.5,89270.0,-11.3
10/26/2014,325.4,346.7,356.8,320.7,87780.0,-6.14
11/2/2014,343.5,325.4,351.6,319.8,95140.0,5.56
11/9/2014,374.9,343.5,480.5,341.8,197010.0,9.12
11/16/2014,352.0,374.9,412.3,343.8,147310.0,-6.1
11/23/2014,376.3,352.0,395.7,352.6,246590.0,6.89
11/30/2014,376.3,376.3,384.9,366.2,146150.0,0.0
12/7/2014,348.2,376.3,377.9,337.8,200160.0,-7.45
12/14/2014,330.4,348.2,351.6,303.4,266580.0,-5.14
12/21/2014,315.3,330.4,339.3,312.0,161650.0,-4.54
12/28/2014,287.1,315.3,322.8,284.9,158960.0,-8.95
1/4/2015,273.4,287.1,296.1,255.9,252200.0,-4.8
1/11/2015,199.6,273.4,278.0,157.3,536800.0,-26.96
1/18/2015,248.2,199.6,248.9,192.5,277730.0,24.3
1/25/2015,218.5,248.2,310.9,216.5,414800.0,-11.95
2/1/2015,227.7,218.5,247.5,209.7,331420.0,4.2
2/8/2015,258.6,227.7,261.3,214.4,574780.0,13.6
2/15/2015,244.4,258.6,264.6,226.6,703120.0,-5.5
2/22/2015,254.1,244.4,258.7,231.3,479590.0,3.95
3/1/2015,274.9,254.1,287.1,244.8,719390.0,8.21
3/8/2015,281.6,274.9,301.0,271.3,720710.0,2.43
3/15/2015,259.7,281.6,294.0,247.0,662730.0,-7.77
3/22/2015,252.0,259.7,271.0,234.8,627700.0,-2.96
3/29/2015,252.9,252.0,256.5,236.6,489100.0,0.35
4/5/2015,236.5,252.9,261.5,231.3,458580.0,-6.49
4/12/2015,223.4,236.5,237.5,214.3,518950.00000000006,-5.55
4/19/2015,226.1,223.4,238.4,221.6,382290.0,1.25
4/26/2015,235.3,226.1,242.6,214.1,560490.0,4.07
5/3/2015,241.4,235.3,247.9,228.2,547710.0,2.57
5/10/2015,236.2,241.4,244.8,232.4,369770.0,-2.14
5/17/2015,238.9,236.2,242.0,231.3,325280.0,1.15
5/24/2015,233.2,238.9,242.4,231.6,258050.0,-2.39
5/31/2015,224.7,233.2,234.0,221.0,364190.0,-3.64
6/7/2015,232.5,224.7,233.1,222.2,327870.0,3.44
6/14/2015,245.0,232.5,258.5,232.1,554570.0,5.38
6/21/2015,250.7,245.0,251.6,239.1,290960.0,2.35
6/28/2015,260.5,250.7,268.7,246.6,430540.0,3.92
7/5/2015,292.0,260.5,298.8,257.6,437970.0,12.06
7/12/2015,274.0,292.0,315.9,243.2,626530.0,-6.14
7/19/2015,288.7,274.0,291.2,271.8,319490.0,5.36
7/26/2015,280.5,288.7,296.7,276.3,333870.0,-2.86
8/2/2015,258.6,280.5,285.7,257.4,323310.0,-7.8
8/9/2015,260.5,258.6,271.5,258.6,361860.0,0.74
8/16/2015,229.5,260.5,261.9,214.3,680080.0,-11.89
8/23/2015,228.5,229.5,234.8,196.3,723790.0,-0.45
8/30/2015,233.7,228.5,235.6,224.2,383820.0,2.26
9/6/2015,235.6,233.7,246.4,233.3,419160.0,0.83
9/13/2015,231.1,235.6,242.8,225.1,357820.0,-1.91
9/20/2015,234.3,231.1,237.6,224.1,375710.0,1.38
9/27/2015,238.6,234.3,240.4,231.8,352360.0,1.83
10/4/2015,245.4,238.6,277.6,236.4,358230.0,2.84
10/11/2015,269.6,245.4,275.4,243.1,495940.0,9.88
10/18/2015,282.6,269.6,283.0,259.5,468080.0,4.81
10/25/2015,311.2,282.6,334.9,279.6,810630.0,10.15
11/1/2015,385.1,311.2,492.8,304.7,1900000.0,23.73
11/8/2015,331.8,385.1,389.8,292.4,1030000.0,-13.85
11/15/2015,324.7,331.8,342.9,309.5,593420.0,-2.13
11/22/2015,355.8,324.7,368.9,315.5,578860.0,9.59
11/29/2015,386.7,355.8,390.3,347.2,664460.0,8.67
12/6/2015,432.3,386.7,467.7,381.7,908490.0,11.79
12/13/2015,461.2,432.3,466.1,420.8,784640.0,6.69
12/20/2015,415.4,461.2,462.8,400.5,703130.0,-9.94
12/27/2015,433.7,415.4,438.0,406.1,420600.0,4.42
1/3/2016,448.3,433.7,462.9,423.1,457610.0,3.36
1/10/2016,385.0,448.3,451.1,350.4,735950.0,-14.11
1/17/2016,388.6,385.0,425.7,373.2,688230.0,0.93
1/24/2016,377.8,388.6,405.4,363.5,484640.0,-2.79
1/31/2016,376.7,377.8,391.8,365.3,465800.0,-0.29
2/7/2016,390.1,376.7,392.6,371.4,420400.0,3.56
2/14/2016,440.1,390.1,442.7,390.1,559580.0,12.81
2/21/2016,431.3,440.1,447.6,410.4,466280.0,-1.99
2/28/2016,399.0,431.3,441.3,386.9,528150.0,-7.49
3/6/2016,410.4,399.0,422.4,393.1,405060.0,2.85
3/13/2016,408.7,410.4,419.6,402.1,324330.0,-0.41
3/20/2016,416.5,408.7,419.6,407.2,264860.0,1.91
3/27/2016,418.5,416.5,427.4,406.4,328930.0,0.48
4/3/2016,418.0,418.5,423.7,412.4,242220.0,-0.11
4/10/2016,430.0,418.0,432.0,416.7,269290.0,2.87
4/17/2016,450.1,430.0,451.5,423.8,333400.0,4.66
4/24/2016,448.5,450.1,468.9,433.9,476550.0,-0.34
5/1/2016,458.5,448.5,461.5,440.2,326080.0,2.21
5/8/2016,456.4,458.5,464.2,446.8,277910.0,-0.44
5/15/2016,443.6,456.4,460.3,435.4,255850.0,-2.8
5/22/2016,524.2,443.6,531.8,436.9,459130.0,18.16
5/29/2016,572.0,524.2,592.7,493.2,663120.0,9.1
6/5/2016,591.6,572.0,592.6,543.6,398830.0,3.44
6/12/2016,753.8,591.6,776.0,592.8,1210000.0,27.41
6/19/2016,663.5,753.8,765.1,539.3,1180000.0,-11.97
6/26/2016,698.1,663.5,700.5,609.9,593430.0,5.21
7/3/2016,651.8,698.1,701.5,605.0,590380.0,-6.62
7/10/2016,660.7,651.8,673.2,636.8,309160.0,1.36
7/17/2016,655.2,660.7,680.9,645.7,285320.0,-0.84
7/24/2016,654.7,655.2,664.2,643.5,217980.0,-0.06
7/31/2016,586.5,654.7,654.9,471.4,444480.0,-10.43
8/7/2016,584.6,586.5,600.5,580.9,211250.0,-0.32
8/14/2016,582.6,584.6,585.8,559.3,216330.0,-0.34
8/21/2016,570.3,582.6,591.9,567.3,180450.0,-2.1
8/28/2016,598.8,570.3,705.0,569.2,177290.0,5.0
9/4/2016,624.5,598.8,629.3,590.8,190280.0,4.29
9/11/2016,607.1,624.5,630.8,592.8,176680.0,-2.79
9/18/2016,602.6,607.1,612.4,591.7,158870.0,-0.74
9/25/2016,613.4,602.6,615.0,598.2,151470.0,1.8
10/2/2016,617.7,613.4,619.6,606.5,154850.0,0.69
10/9/2016,637.0,617.7,642.5,612.8,190800.0,3.14
10/16/2016,655.5,637.0,659.9,624.1,186590.0,2.9
10/23/2016,715.0,655.5,720.2,645.7,279120.0,9.07
10/30/2016,702.1,715.0,744.4,670.4,351150.0,-1.8
11/6/2016,704.3,702.1,741.2,697.6,253500.0,0.31
11/13/2016,747.9,704.3,755.3,685.0,322970.0,6.19
11/20/2016,734.1,747.9,754.0,712.8,250910.0,-1.84
11/27/2016,764.2,734.1,779.0,727.1,283010.0,4.1
12/4/2016,774.0,764.2,777.0,746.0,209600.0,1.28
12/11/2016,787.2,774.0,791.6,763.0,181200.0,1.7
12/18/2016,891.1,787.2,920.5,783.8,358580.0,13.2
12/25/2016,963.4,891.1,982.6,851.4,367770.0,8.11
1/1/2017,888.9,963.4,1150.6,806.7,1650000.0,-7.73
1/8/2017,819.6,888.9,936.1,739.5,641940.0,-7.79
1/15/2017,919.8,819.6,928.9,808.6,346770.0,12.23
1/22/2017,918.5,919.8,938.4,883.6,256520.0,-0.14
1/29/2017,1031.8,918.5,1041.0,911.5,282010.0,12.34
2/5/2017,1008.3,1031.8,1073.0,924.7,404970.0,-2.28
2/12/2017,1052.3,1008.3,1063.2,975.1,219710.0,4.36
2/19/2017,1149.1,1052.3,1211.7,1037.7,373700.0,9.2
2/26/2017,1264.3,1149.1,1291.3,1130.6,352150.0,10.03
3/5/2017,1179.2,1264.3,1330.4,988.7,563140.0,-6.73
3/12/2017,971.4,1179.2,1260.2,940.2,700540.0,-17.63
3/19/2017,966.3,971.4,1125.5,890.4,691920.0,-0.52
3/26/2017,1086.1,966.3,1103.7,946.7,542070.0,12.4
4/2/2017,1180.8,1086.1,1201.6,1074.2,495230.0,8.72
4/9/2017,1177.0,1180.8,1229.6,841.5,309200.0,-0.32
4/16/2017,1240.9,1177.0,1257.0,1166.7,301860.0,5.43
4/23/2017,1336.3,1240.9,1356.2,1223.1,364250.0,7.69
4/30/2017,1545.3,1336.3,1609.8,1309.7,609500.0,15.64
5/7/2017,1763.7,1545.3,1864.8,1495.2,689310.0,14.14
5/14/2017,2040.2,1763.7,2048.4,1653.7,552750.0,15.67
5/21/2017,2052.4,2040.2,2781.8,1868.6,1180000.0,0.6
5/28/2017,2545.4,2052.4,2582.8,2051.1,732630.0,24.02
6/4/2017,2900.3,2545.4,2931.2,2478.2,710050.0,13.94
6/11/2017,2655.1,2900.3,2985.1,2125.6,1070000.0,-8.45
6/18/2017,2590.1,2655.1,2804.4,2488.6,623370.0,-2.45
6/25/2017,2424.6,2590.1,2660.7,2309.6,737130.0,-6.39
7/2/2017,2564.9,2424.6,2658.7,2375.9,526680.0,5.78
7/9/2017,1975.1,2564.9,2576.7,1974.0,777010.0,-22.99
7/16/2017,2836.5,1975.1,2932.8,1809.0,1350000.0,43.62
7/23/2017,2733.5,2836.5,2856.7,2441.5,859860.0,-3.63
7/30/2017,3262.8,2733.5,3344.0,2621.7,675090.0,19.36
8/6/2017,3871.6,3262.8,3967.3,3166.5,644930.0,18.66
8/13/2017,4150.5,3871.6,4487.5,3837.1,997130.0,7.2
8/20/2017,4352.3,4150.5,4461.7,3612.2,628020.0,4.86
8/27/2017,4573.8,4352.3,4976.5,4195.2,622350.0,5.09
9/3/2017,4335.1,4573.8,4719.8,4004.6,870550.0,-5.22
9/10/2017,3698.9,4335.1,4387.8,2979.9,1430000.0,-14.68
9/17/2017,3788.0,3698.9,4122.8,3485.8,781520.0,2.41
9/24/2017,4360.6,3788.0,4383.3,3633.9,588230.0,15.12
10/1/2017,4435.8,4360.6,4477.4,4143.4,443240.0,1.72
10/8/2017,5824.7,4435.8,5852.8,4419.4,805690.0,31.31
10/15/2017,6006.6,5824.7,6187.2,5114.9,670510.0,3.12
10/22/2017,5726.6,6006.6,6070.6,5375.6,722590.0,-4.66
10/29/2017,7363.8,5726.6,7492.2,5679.4,976410.0,28.59
11/5/2017,6339.9,7363.8,7869.1,6197.9,1070000.0,-13.91
11/12/2017,7780.9,6339.9,8000.2,5493.6,1000000.0,22.73
11/19/2017,8754.7,7781.0,8762.0,7675.4,551270.0,12.51
11/26/2017,10912.7,8754.6,11417.8,8746.6,919630.0,24.65
12/3/2017,14843.4,10912.7,17294.8,10578.4,1260000.0,36.02
12/10/2017,19345.5,14840.0,19587.7,13031.0,1020000.0,30.33
12/17/2017,14396.5,19346.6,19870.6,10875.7,1460000.0,-25.58
12/24/2017,12531.5,14396.6,16514.6,11962.1,1040000.0,-12.95
12/31/2017,17172.3,12532.4,17252.8,12359.4,770830.0,37.03
1/7/2018,14292.2,17174.5,17184.8,13048.3,691250.0,-16.77
1/14/2018,12858.9,14291.9,14446.1,12858.9,1390000.0,-10.03
1/21/2018,11467.5,12857.1,12860.2,10056.6,1330000.0,-10.82
1/28/2018,9241.1,11471.2,12112.7,7915.8,1890000.0,-19.41
2/4/2018,8559.6,9241.5,9382.1,8559.6,3000000.0,-7.37
2/11/2018,11073.5,8559.7,11095.9,7843.7,1640000.0,29.37
2/18/2018,9704.3,11073.7,11791.5,9394.5,1930000.0,-12.36
2/25/2018,11402.3,9703.1,11420.7,9330.1,1410000.0,17.5
3/4/2018,8762.0,11402.8,11506.9,8351.0,1660000.0,-23.16
3/11/2018,7874.9,8732.2,9892.2,7691.7,1840000.0,-10.12
3/18/2018,8547.4,7873.2,9173.4,7323.3,1750000.0,8.54
3/25/2018,6938.2,8549.1,8679.0,6603.8,1800000.0,-18.83
4/1/2018,6905.7,6939.1,7519.3,6460.1,1500000.0,-0.47
4/8/2018,8004.4,6905.9,8228.0,6633.2,1510000.0,15.91
4/15/2018,8923.1,8004.6,9027.7,7852.8,1270000.0,11.48
4/22/2018,9352.4,8923.6,9753.1,8669.8,1600000.0,4.81
4/29/2018,9853.5,9352.2,9992.8,8851.0,1170000.0,5.36
5/6/2018,8459.5,9859.4,9957.7,8184.1,1260000.0,-14.15
5/13/2018,8245.1,8483.6,8758.4,8055.5,1140000.0,-2.53
5/20/2018,7361.3,8243.9,8597.4,7293.4,1080000.0,-10.72
5/27/2018,7646.6,7361.9,7694.5,7069.8,984530.0,3.88
6/3/2018,7515.8,7646.6,7775.0,7391.0,868030.0,-1.71
6/10/2018,6505.8,7515.8,7516.3,6129.1,1320000.0,-13.44
6/17/2018,6167.3,6505.8,6839.5,5955.0,988810.0,-5.2
6/24/2018,6398.9,6167.9,6498.5,5785.3,1340000.0,3.76
7/1/2018,6765.5,6398.5,6805.9,6398.5,1030000.0,5.73
7/8/2018,6254.8,6765.4,6793.8,6088.8,1880000.0,-7.55
7/15/2018,7408.7,6254.8,7683.6,6238.5,1920000.0,18.45
